beans_resnet18_finetuned,beans_resnet34_finetuned,beans_mobilenet_v3_small_finetuned,beans_maxvit_t_finetuned,brain_tumor_resnet18_finetuned,brain_tumor_resnet34_finetuned,brain_tumor_mobilenet_v3_small_finetuned,brain_tumor_maxvit_t_finetuned,cats_and_dogs_resnet18_finetuned,cats_and_dogs_resnet34_finetuned,cats_and_dogs_mobilenet_v3_small_finetuned,cats_and_dogs_maxvit_t_finetuned,brain_tumor_maxvit_t_imagenet,brain_tumor_mobilenet_v3_small_imagenet,beans_resnet18_imagenet,beans_resnet34_imagenet,beans_mobilenet_v3_small_imagenet,beans_maxvit_t_imagenet,brain_tumor_resnet18_imagenet,brain_tumor_resnet34_imagenet,cats_and_dogs_resnet18_imagenet,cats_and_dogs_mobilenet_v3_small_imagenet,cats_and_dogs_resnet34_imagenet,cats_and_dogs_maxvit_t_imagenet
0.306719958846911,0.114997731933116,0.0908057683384477,0.221288717650993,0.957467970633665,0.695429566925913,0.186146399119342,0.27246984752363,0.926314398916505,0.218278684706955,0.837191344063355,0.518962237066383,0.930259913835677,0.361481529823783,0.873942917047255,0.0395916976717904,0.301784913686365,0.90266497123903,0.889951155610809,0.394811663116047,0.0957552936854411,0.053912265228297,0.0707902397281141,0.007268656008683094
0.148880219478248,0.56499768608906,0.0293563712657216,0.972460538724861,0.251388732843699,0.0295100384876391,0.229706310657703,0.2747486217251,0.642632295402486,0.703917316698958,0.955365994131663,0.214465302200491,0.251175841063252,0.912912713163002,0.121669891938851,0.587648864928289,0.901796573831243,0.364282673825642,0.495927701403777,0.463448473688916,0.0978500939994018,0.6926733693089363,0.7274666937275915,0.17215614776407906
0.0902754636194208,0.756082253701428,0.16677109293507,0.926673492799694,0.516924047703502,0.0902452594281323,0.86429752330987,0.0389400268725613,0.707954162013744,0.34908409965828,0.750196010690235,0.748951104175125,0.173398019438352,0.358913288192976,0.290931974191518,0.465408090139113,0.844477194903314,0.108670035784749,0.815187849493616,0.278883421756364,0.6287815163379412,0.291745303181097,0.987162325975388,0.5226117848536966
0.0526814336066757,0.798036929060006,0.252929886058469,0.109910867264748,0.142239351078469,0.0408398788695694,0.125571855560023,0.109910867264748,0.552159635719742,0.0032985853361418,0.294733955089715,0.302906799189719,0.96792494090775,0.135922225161475,0.334048617795003,0.311763191156763,0.950363434143662,0.557586369211914,0.0501262961642223,0.160762925403765,0.5559150865912258,0.6109878429636455,0.9714307586122024,0.04923373520398
0.542110596754378,0.96291593639469,0.175035260822933,0.367398251114982,0.801199110465586,0.901480900268815,0.730438191454759,0.1787454666739,0.276504406431242,0.825633405705103,0.0936406208013528,0.427462540620518,0.169231117282456,0.405989918206975,0.791252727882253,0.0334011091461026,0.05990343666624,0.420336802801633,0.690007974444734,0.229528290277318,0.1103911496560717,0.1411959482327648,0.8715612452809989,0.7495673237393456
0.638326535945348,0.490205749467482,0.293587668679423,0.150061705079406,0.174840333017658,0.246120305090613,0.601124055210318,0.217719331912378,0.630459167007948,0.28156174595384,0.225812814386334,0.99176127582625,0.868998755926887,0.93444630586318,0.267843095811485,0.800396619953488,0.0696023151122259,0.786621296077438,0.829902790685494,0.525566023622357,0.741807205555823,0.5839014528586587,0.3926680272182825,0.13913913792166788
0.473428616136863,0.754902162361702,0.0094394920691099,0.865229308429489,0.206218398839271,0.0846616475110058,0.0062930447776127,0.823983811023078,0.138540978178975,0.631453189746163,0.0197441507818431,0.187545612952489,0.879875803986457,0.424240232648936,0.362674043010032,0.125641361149322,0.192920745569973,0.979001589778656,0.0441287755306269,0.258082340517895,0.266347150791591,0.0235712337145452,0.0044070196584742,0.025256812826210284
0.781081589501217,0.674368916832166,0.840660210283244,0.0398820582722762,0.0398820582722762,0.771366063117858,0.62814530742788,0.228403490217158,0.0088604600775068,0.146611838875513,0.360754848211426,0.119423484647101,0.0122630372993061,0.968008792270693,0.882774338197596,0.242397736616238,0.0012556174711295,0.947779194331682,0.911409623607737,0.458412538839147,0.1429205878206967,0.7655108225111179,0.7281111922056188,0.6714443688282021
0.789300417639001,0.715983863567914,0.928398443976896,0.924167058068438,0.237075532854658,0.254023190526151,0.191964913672455,0.240256549875406,0.118883312440768,0.113050078441438,0.420409618811837,0.18936727935468,0.112845369546846,0.122971918017297,0.0542789888284001,0.521941667235086,0.305791872868888,0.0441045986580187,0.396871346774048,0.738544361209422,0.8987996026421811,0.1171172677438026,0.5672613521541632,0.20286601943668303
0.885734107364768,0.939781322389517,0.238206889357174,0.774584359852947,0.0717071463062666,0.993779528469163,0.141419995041251,0.129874508769648,0.221165818216276,0.635058645637016,0.64546075879027,0.201862803033463,0.974517460482506,0.176995683202476,0.898366052958447,0.0270300305488697,0.200561346848431,0.865954437509474,0.491844085755036,0.650535295539225,0.474746558396422,0.3644834077833845,0.0777991972328486,0.25502900269103446
